# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2021-01-01
# NFiles = 288, max geo IngestTime = 2021-01-02 16:44:57.368588
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2021001.0055.061.2021001221715.hdf,2021-01-01 00:55,61,99270,B,-158.275093905773,78.5537801057397,54.9116836564549,130.621504172297,-162.143531010035,158.490258256772,130.207944959135,-158.038537243191,60.4366055965327,54.9067821477605,67.8039980670924,78.7685321983215
MYD03.A2021001.0100.061.2021001222342.hdf,2021-01-01 01:00,61,99270,N,180,89.99627126031,68.0252731489661,-180,-156.582326609909,130.785466569751,78.5459936921465,-12.0133674925306,78.1984161668593,68.0245564710758,69.8380891654909,82.6801238253753
MYD03.A2021001.0105.061.2021001221809.hdf,2021-01-01 01:05,61,99270,N,78.3809240553132,83.56516632518,59.1042458242871,-13.6408111797016,-16.2097691900227,78.3829593762136,43.7919868799209,-1.096672043716,83.046303291492,70.203029906376,58.8600798099192,65.1117080150531
MYD03.A2021001.0110.061.2021001221613.hdf,2021-01-01 01:10,61,99270,N,43.2125116396658,65.6391498018295,43.3952335680415,-1.5440254795963,-1.86117729721171,43.2139919829423,28.4649801256541,-1.54097636854002,65.5970789473395,59.1629487890204,43.2481139974773,47.3064555707258
MYD03.A2021001.0115.061.2021001221627.hdf,2021-01-01 01:15,61,99270,N,27.9753974885351,47.7359135382413,26.3389326908424,-3.54920325797499,-1.84776050341025,27.9824990031068,20.1713849070218,-3.56964240011464,47.755067400818,43.4644574140817,26.2583885541943,29.4752147104311
MYD03.A2021001.0120.061.2021001221627.hdf,2021-01-01 01:20,61,99270,N,19.8339570905061,29.8014047466275,8.74492798619304,-6.42178516511656,-3.73494112452993,19.8389773787914,14.7392230358186,-6.44358791358335,29.8298425561903,26.4084697867699,8.71237661871075,11.6672407347902
MYD03.A2021001.0125.061.2021001221619.hdf,2021-01-01 01:25,61,99270,N,14.5571395104454,11.8702356255134,-9.0836599797763,-10.1806823629973,-6.53352828875126,14.564608923797,10.7498715435887,-10.1867320239844,11.9023149350997,8.81795320675948,-9.09198470522762,-6.0385460675789
MYD03.A2021001.0130.061.2021001221626.hdf,2021-01-01 01:30,61,99270,N,10.751463175157,-5.96693907223757,-26.9890637704245,-15.2657715921019,-10.2127363836732,10.9247513186752,7.84850615254682,-15.2728868271658,-5.94161674284745,-9.03044282326073,-27.1336357905396,-23.6297707434549
MYD03.A2021001.0135.061.2021001221624.hdf,2021-01-01 01:35,61,99270,N,7.87220871879719,-23.5549241129033,-44.8676941561778,-22.9008089136649,-15.2484375654786,8.22398528828189,5.82443811829766,-22.9566928881218,-23.5400204168915,-26.9331558998146,-45.139586070286,-40.6890908873965
MYD03.A2021001.0140.061.2021001221720.hdf,2021-01-01 01:40,61,99270,N,5.86760309002666,-40.6342255567544,-62.695389901059,-36.5442952443003,-22.8631212397381,6.42301367848176,5.3743542375298,-36.7664495080793,-40.6240302036858,-44.7952316808531,-63.0320318179062,-56.5061504431963
MYD03.A2021001.0145.061.2021001222009.hdf,2021-01-01 01:45,61,99270,B,13.0988940467284,-56.5213362525441,-80.6205642291137,-67.1103282709969,-36.4659797054794,6.17087714559619,13.5949956153448,-67.4314125216771,-56.5165628337993,-62.5579398000555,-80.7241297577279,-68.5065936751043
MYD03.A2021001.0150.061.2021001222645.hdf,2021-01-01 01:50,61,99270,D,180,-68.715212638034,-89.9862095686912,-180,-66.9019890878598,15.146209893066,157.684813433682,-118.640596240626,-68.7122526204567,-80.1080327873684,-80.7189449417272,-68.8097672313286
MYD03.A2021001.0155.061.2021001222213.hdf,2021-01-01 01:55,61,99270,D,-118.896307157479,-57.4336447377332,-81.5926610974636,156.527037230075,-118.894296624911,154.519709034792,166.014545378961,-150.243206346737,-69.1856124228892,-81.1180338279342,-63.2151802701453,-57.1816913615658
MYD03.A2021001.0200.061.2021001222008.hdf,2021-01-01 02:00,61,99270,D,-150.857605919078,-41.6634753761038,-63.7547043448089,165.612683495884,-150.856200977837,165.466897791585,165.613731511389,-164.559386190971,-57.4998619185315,-63.7143098730112,-45.4993946587394,-41.5004538155169
MYD03.A2021001.0205.061.2021001221951.hdf,2021-01-01 02:05,61,99270,D,-165.112513882305,-24.6293039973566,-45.9279153753683,163.663743846906,-165.109509258294,165.442095536588,163.64221177921,-172.561760955055,-41.7352785369493,-45.9463908454134,-27.728485779617,-24.5337000463728
MYD03.A2021001.0210.061.2021001221928.hdf,2021-01-01 02:10,61,99270,D,-172.977423702074,-7.06010291231932,-28.0488216035471,160.838712584868,-172.972448905748,163.613326225444,160.817898218453,-177.906871250086,-24.7037482475311,-28.0710342047454,-9.95150474226027,-7.01437413105059
MYD03.A2021001.0215.061.2021001221852.hdf,2021-01-01 02:15,61,99270,D,-178.176608955235,10.7706777726781,-10.140602008769,157.085586574835,-178.170422003423,160.843546878598,157.07214375606,178.106741031266,-7.13218591992112,-10.1598616819626,7.77020118874372,10.8039137879377
MYD03.A2021001.0220.061.2021001221819.hdf,2021-01-01 02:20,61,99271,D,178.010086668548,28.7020820831119,7.69909869444099,151.925263461436,178.095839586267,157.099096331474,151.847101386721,175.066563891781,10.7048378933873,7.68154508119172,25.367384126996,28.8576854440127
MYD03.A2021001.0225.061.2021001221835.hdf,2021-01-01 02:25,61,99271,D,175.091915975215,46.6403720132111,25.3144376828271,144.017230872411,175.362509539336,151.943180265158,143.837639155304,172.976008041042,28.6440720583721,25.3001491329271,42.4342638584302,46.9168041327484
MYD03.A2021001.0230.061.2021001221809.hdf,2021-01-01 02:30,61,99271,D,173.018802604967,64.5464642249301,42.4191777875189,129.457458883555,173.507461000977,144.057022496125,129.086783748125,172.476187534521,46.5675883687367,42.4096956091743,58.1807492062408,64.884478675869
MYD03.A2021001.0235.061.2021001221837.hdf,2021-01-01 02:35,61,99271,B,-177.457429085375,82.5616432697553,58.2632770255322,95.7154146391985,173.384005725629,129.527949843581,95.386256877282,-176.702865364213,64.4153709593606,58.2567930324854,69.5796207817902,82.6324237298559
MYD03.A2021001.0240.061.2021001222617.hdf,2021-01-01 02:40,61,99271,N,180,89.9936475649017,68.5056041261361,-180,-175.352687882514,95.8992954302612,43.4369072274898,-30.4518556162251,82.0338479005369,69.8406480370565,68.1770142927678,78.8376199942816
MYD03.A2021001.0245.061.2021001221837.hdf,2021-01-01 02:45,61,99271,N,43.0794459498472,79.55768873138,55.8021778530622,-31.1494596120614,-32.9778564968511,43.0814615147259,14.5905279868318,-25.6557066033026,79.2639994060916,68.5449503563434,55.5823268868955,61.1393196589471
MYD03.A2021001.0250.061.2021001221711.hdf,2021-01-01 02:50,61,99271,N,14.0181324895424,61.6340037343093,39.6540152975263,-26.6243823117762,-26.2660769335885,14.0194690546184,1.50341221128955,-26.6295603376542,61.6198968171096,55.8636137363035,39.5249834746407,43.3212850116666
MYD03.A2021001.0255.061.2021001221620.hdf,2021-01-01 02:55,61,99271,N,1.05154546537735,43.7310843339772,22.4385139173424,-28.8548487571284,-26.9041978728352,1.05527897614793,-5.93836299888041,-28.8777620264713,43.7529867950236,39.7244803443207,22.3693848486087,25.4909869221827
MYD03.A2021001.0300.061.2021001221719.hdf,2021-01-01 03:00,61,99271,N,-6.24486569181283,25.7905535134372,4.77149702491872,-31.9013243060943,-29.0143706030508,-6.23931778006185,-10.9732134368685,-31.9209841897712,25.8211083512211,22.5084012829406,4.74837359539562,7.69617276223534
MYD03.A2021001.0305.061.2021001221724.hdf,2021-01-01 03:05,61,99271,N,-11.1110057792061,7.87065499883216,-13.0847778753749,-35.8959825882014,-31.9912342331847,-11.0740793054049,-14.6983344464798,-35.9022692383281,7.90157632612157,4.83996254523558,-13.1234334610122,-9.99977936592025
MYD03.A2021001.0310.061.2021001221810.hdf,2021-01-01 03:10,61,99271,N,-14.687030712233,-9.9282547506233,-30.9922229084716,-41.4028409438383,-35.9100708425594,-14.474241983788,-17.4089144368034,-41.4101699188838,-9.9058581937791,-13.0329788602336,-31.1663152123688,-27.5066292134162
MYD03.A2021001.0315.061.2021001221717.hdf,2021-01-01 03:15,61,99271,N,-17.3813385926583,-27.4319475138459,-48.8566445958094,-49.9408763332712,-41.3827606338851,-16.9879274583684,-19.1927162638547,-50.0264118205444,-27.4179556335317,-30.9336118081975,-49.153588084855,-44.3760910774595
MYD03.A2021001.0320.061.2021001221951.hdf,2021-01-01 03:20,61,99271,N,-18.9272573225024,-44.3320720845752,-66.6848478248039,-65.9786804103666,-49.8969690405055,-18.5354349087863,-18.9405176313824,-66.2484624278419,-44.3230207719757,-48.7783179745041,-67.0097111581743,-59.694283010173
